status,name_of_covered_entity,individuals_affected,breach_submission_date,web_description,location_of_breached_information,state,covered_entity_type,type_of_breach,business_associate_present
"current","Valley Orthopaedic Specialists",5062,"05/26/2023","","Network Server","CT","Healthcare Provider","Hacking/IT Incident","No"
"current","Lancaster Orthopedic Group",1784,"05/26/2023","","Network Server","PA","Healthcare Provider","Hacking/IT Incident","No"
"current","Albany ENT & Allergy Services, PC.",224486,"05/25/2023","","Network Server","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","Alaska Railroad Corporation Welfare Benefits Plan",3549,"05/25/2023","","Network Server","AK","Health Plan","Hacking/IT Incident","No"
"current","Asian Health Services",6270,"05/25/2023","","Email","CA","Healthcare Provider","Hacking/IT Incident","No"
"current","Goodwill Industries of Greater New York and Northern NJ, Inc.",805,"05/24/2023","","Email","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","Vascular Center of Intervention, Inc.",3833,"05/24/2023","","Network Server","CA","Healthcare Provider","Hacking/IT Incident","No"
"current","Harvard Pilgrim Health Care",2550922,"05/24/2023","","Network Server","MA","Health Plan","Hacking/IT Incident","No"
"current","MedInform, Inc.",14453,"05/24/2023","","Network Server","OH","Business Associate","Hacking/IT Incident","Yes"
"current","UI Community Home Care, a subsidiary of University of Iowa Health System ",67897,"05/24/2023","","Electronic Medical Record, Network Server","IA","Healthcare Provider","Hacking/IT Incident","No"
"current","Culbertson Memorial Hospital ",69765,"05/24/2023","","Network Server","IL","Healthcare Provider","Hacking/IT Incident","No"
"current","Grant Regional Health Center",4135,"05/23/2023","","Email","WI","Healthcare Provider","Hacking/IT Incident","No"
"current","Topcon Healthcare Solutions, Inc.",4209,"05/22/2023","","Network Server","NJ","Business Associate","Hacking/IT Incident","Yes"
"current","PillPack LLC",19032,"05/19/2023","","Network Server","NH","Healthcare Provider","Hacking/IT Incident","No"
"current","PartsSource, Inc. Welfare Benefit Plan",1474,"05/19/2023","","Network Server","OH","Health Plan","Hacking/IT Incident","No"
"current","Tennessee Orthopaedic Clinics ",500,"05/19/2023","","Network Server","TN","Healthcare Provider","Hacking/IT Incident","No"
"current","Hiawatha Harris MD, Inc. dba Pathways to Wellness Medication Clinics",9182,"05/18/2023","","Network Server","CA","Healthcare Provider","Hacking/IT Incident","No"
"current","University of Missouri Health Care ",736,"05/17/2023","","Electronic Medical Record","MO","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Clarke County Hospital   ",28003,"05/17/2023","","Network Server","IA","Healthcare Provider","Hacking/IT Incident","No"
"current","State of New Jersey Department of Human Services, Division of Medical Assistance and Health Service",552,"05/16/2023","","Electronic Medical Record, Other","NJ","Health Plan","Unauthorized Access/Disclosure","No"
"current","Buckeye Health Plan",686,"05/16/2023","","Email","OH","Health Plan","Unauthorized Access/Disclosure","No"
"current","Essen Medical Associates, P.C.",500,"05/16/2023","","Network Server","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","Fertility Specialists Medical Group",9197,"05/15/2023","","Network Server","CA","Healthcare Provider","Hacking/IT Incident","No"
"current","Lehigh Valley Health Network (blackcat)",248359,"05/15/2023","","Network Server","PA","Healthcare Provider","Hacking/IT Incident","No"
"current","R&B Corporation of Virginia d/b/a Credit Control Corporation",345523,"05/13/2023","","Network Server","VA","Business Associate","Hacking/IT Incident","Yes"
"current","PharMerica Corporation",5815591,"05/12/2023","","Network Server","KY","Healthcare Provider","Hacking/IT Incident","No"
"current","Great Expressions Dental Centers",528,"05/12/2023","","Network Server","MI","Healthcare Provider","Hacking/IT Incident","No"
"current","Illinois Department of Healthcare and Family Services, Illinois Department of Human Services",50839,"05/12/2023","","Network Server","IL","Health Plan","Hacking/IT Incident","No"
"current","United Healthcare Services, Inc. Single Affiliated Covered Entity",1116,"05/12/2023","","Email","CT","Health Plan","Unauthorized Access/Disclosure","No"
"current","Catholic Health System",12759,"05/11/2023","","Electronic Medical Record","NY","Healthcare Provider","Unauthorized Access/Disclosure","Yes"
"current","IMA Financial Group, Inc.",5242,"05/10/2023","","Network Server","KS","Business Associate","Hacking/IT Incident","Yes"
"current","Uintah Basin Healthcare",103974,"05/10/2023","","Network Server","UT","Healthcare Provider","Hacking/IT Incident","No"
"current","Smile Doctors of Arizona, P.C. d/b/a Grinz Orthodontics (""Grinz Orthodontics"")",1034,"05/09/2023","","Desktop Computer","AZ","Healthcare Provider","Theft","No"
"current","ASAS Health, LLC",25527,"05/06/2023","","Desktop Computer, Laptop, Network Server","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","United Healthcare Services, Inc. Single Affiliated Covered Entity",1971,"05/05/2023","","Network Server","CT","Health Plan","Unauthorized Access/Disclosure","No"
"current","United Healthcare Services, Inc. Single Affiliated Covered Entity",26561,"05/05/2023","","Network Server","CT","Health Plan","Hacking/IT Incident","No"
"current","Our Sunday Visitor, Inc.",965,"05/05/2023","","Network Server","IN","Health Plan","Hacking/IT Incident","No"
"current","People Incorporated of Sequoyah County",8725,"05/05/2023","","Network Server","OK","Healthcare Provider","Hacking/IT Incident","No"
"current","New Mexico Department of Health",49000,"05/04/2023","","Other","NM","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Methodist Family Health",5259,"05/03/2023","","Network Server","AR","Healthcare Provider","Hacking/IT Incident","No"
"current","Northwest Health – La Porte",10256,"05/02/2023","","Paper/Films","IN","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Herbert J. Thomas Memorial Hospital Association dba Thomas Memorial Hospital ",2563,"05/02/2023","","Network Server","WV","Healthcare Provider","Hacking/IT Incident","Yes"
"current","University Urology",56816,"05/01/2023","","Network Server","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","Summit Eye & Optical",5727,"05/01/2023","","Network Server","NJ","Healthcare Provider","Hacking/IT Incident","No"
"current","Link Audiology LLC",7200,"04/28/2023","","Email","WA","Healthcare Provider","Hacking/IT Incident","No"
"current","HealthPlan Services, Inc.",9349,"04/28/2023","","Network Server","FL","Business Associate","Hacking/IT Incident","Yes"
"current","Grohler Hearing Aid Center, INC DBA Beltone Hearing Aid Centers",5272,"04/28/2023","","Email","VA","Healthcare Provider","Hacking/IT Incident","No"
"current","Allina Health",1042,"04/28/2023","","Network Server","MN","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Unlimited Care, Inc. ",8453,"04/27/2023","","Network Server","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","Delphi Drug & Alcohol Council",6288,"04/27/2023","","Email","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","University of California, San Francisco",676,"04/26/2023","","Email","CA","Healthcare Provider","Hacking/IT Incident","No"
"current","CounSol, LLC",4277,"04/25/2023","","Network Server","FL","Business Associate","Unauthorized Access/Disclosure","Yes"
"current","Lake County Health Department and Community Health Center",17000,"04/25/2023","","Email","IL","Healthcare Provider","Hacking/IT Incident","No"
"current","Mars Area School District  ",1270,"04/24/2023","","Network Server","PA","Health Plan","Hacking/IT Incident","No"
"current","Upstream RollCo, LLC",748678,"04/22/2023","","Email","AL","Healthcare Provider","Hacking/IT Incident","No"
"current","Robeson Health Care Corporation",15045,"04/21/2023","","Network Server","NC","Healthcare Provider","Hacking/IT Incident","No"
"current","Modern Cardiology Associates",10000,"04/19/2023","","Network Server","","Healthcare Provider","Hacking/IT Incident","No"
"current","Graceworks Lutheran Services",6737,"04/19/2023","","Network Server","OH","Healthcare Provider","Hacking/IT Incident","No"
"current","Morgan Stanley",535,"04/18/2023","","Paper/Films","NY","Health Plan","Unauthorized Access/Disclosure","No"
"current","Ethan Health, LLC",4047,"04/14/2023","","Email","KY","Healthcare Provider","Hacking/IT Incident","No"
"current","MiniMed Distribution Corp.",58374,"04/14/2023","","Network Server","CA","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Dallas County",501,"04/14/2023","","Desktop Computer","TX","Healthcare Provider","Improper Disposal","No"
"current","United Steelworkers Local 286",37965,"04/14/2023","","Email","PA","Health Plan","Hacking/IT Incident","No"
"current","Henry County Hospital",3689,"04/14/2023","","Network Server","OH","Healthcare Provider","Hacking/IT Incident","Yes"
"current","NationsBenefits Holdings, LLC",3037303,"04/13/2023","","Network Server","FL","Business Associate","Hacking/IT Incident","Yes"
"current","Cummins Behavioral Health Systems",501,"04/12/2023","","Network Server","IN","Healthcare Provider","Hacking/IT Incident","No"
"current","Retina & Vitreous of Texas, PLLC",35766,"04/10/2023","","Network Server","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","Yukon Kuskokwim Health Corporation ",51787,"04/10/2023","","Network Server","AK","Healthcare Provider","Hacking/IT Incident","No"
"current","Iowa Department of Health and Human Services - Iowa Medicaid Enterprise (Iowa HHS-IME)",20815,"04/10/2023","","Network Server","IA","Health Plan","Hacking/IT Incident","Yes"
"current","La Clínica de La Raza, Inc.",15316,"04/07/2023","","Email","CA","Healthcare Provider","Hacking/IT Incident","No"
"current","Gretna Family Health",845,"04/07/2023","","Network Server","NE","Healthcare Provider","Hacking/IT Incident","No"
"current","St. Luke's Health System, Ltd. ",15246,"04/06/2023","","Paper/Films","ID","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","NORTHEAST BEHAVIORAL HEALTH CARE CONSORTIUM",13240,"04/05/2023","","Email","PA","Health Plan","Hacking/IT Incident","No"
"current","WellBe Senior Medical, LLC",42020,"04/04/2023","","Network Server, Other","IL","Business Associate","Hacking/IT Incident","Yes"
"current","banis plastci surgery",4498,"04/04/2023","","Email","KY","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Chippewa County",842,"04/04/2023","","Network Server","WI","Healthcare Provider","Hacking/IT Incident","No"
"current","Integrative Health of Utah, PLLC",600,"04/03/2023","","Electronic Medical Record, Paper/Films","UT","Healthcare Provider","Theft","No"
"current","Southwest Healthcare Services",15996,"04/01/2023","","Network Server","ND","Healthcare Provider","Hacking/IT Incident","No"
"current","Tallahassee Memorial Healthcare, Inc.",20376,"03/31/2023","","Network Server","FL","Healthcare Provider","Hacking/IT Incident","No"
"current","Monument, Inc.",108584,"03/31/2023","","Network Server","NY","Business Associate","Unauthorized Access/Disclosure","Yes"
"current","WellBe Senior Medical, LLC",19567,"03/30/2023","","Network Server","IL","Healthcare Provider","Hacking/IT Incident","No"
"current","UHS of Delaware, Inc. ",40290,"03/29/2023","","Email","PA","Business Associate","Hacking/IT Incident","Yes"
"current","Nonstop Administration and Insurance Services, Inc.",8571,"03/27/2023","","Network Server","PA","Business Associate","Hacking/IT Incident","Yes"
"current","American Pain and Wellness, PLLC",7457,"03/24/2023","","Network Server","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","NewBridge Services",1457,"03/24/2023","","Network Server","NJ","Healthcare Provider","Hacking/IT Incident","No"
"current","Adams County Children and Youth Services",722,"03/24/2023","","Email","PA","Healthcare Provider","Hacking/IT Incident","No"
"current","Atlantic General Hospital",26591,"03/24/2023","","Network Server","MD","Healthcare Provider","Hacking/IT Incident","No"
"current","New Medical Healthcare",1557,"03/22/2023","","Email","KS","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Atlantic Dialysis Management Services - Mattoo and Bhat Medical Associates ",3851,"03/22/2023","","Network Server","NY","Business Associate","Hacking/IT Incident","Yes"
"current","Atlantic Dialysis Management Services - West Nassau Dialysis Center Inc. ",795,"03/22/2023","","Network Server","NY","Business Associate","Hacking/IT Incident","Yes"
"current","Atlantic Dialysis Management Services - Springfield Dialysis Center ",922,"03/22/2023","","Network Server","NY","Business Associate","Hacking/IT Incident","Yes"
"current","Atlantic Dialysis Management Services - Ridgewood Dialysis Center Inc.",2204,"03/22/2023","","Network Server","NY","Business Associate","Hacking/IT Incident","Yes"
"current","Atlantic Dialysis Management Services - 522012",563,"03/22/2023","","Network Server","NY","Business Associate","Hacking/IT Incident","Yes"
"current","Atlantic Dialysis Management Services - Newtown Dialysis Center Inc.  ",970,"03/22/2023","","Network Server","NY","Business Associate","Hacking/IT Incident","Yes"
"current","Atlantic Dialysis Management Services - New York Renal Associates ",1126,"03/22/2023","","Network Server","NY","Business Associate","Hacking/IT Incident","Yes"
"current","Atlantic Dialysis Management Services - New Hyde Park Dialysis Center LLC ",1119,"03/22/2023","","Network Server","NY","Business Associate","Hacking/IT Incident","Yes"
"current","Atlantic Dialysis Management Services - Morrisania Dialysis Center  ",653,"03/22/2023","","Network Server","NY","Business Associate","Hacking/IT Incident","Yes"
"current","Atlantic Dialysis Management Services - East End Dialysis Center LLC ",745,"03/22/2023","","Network Server","NY","Business Associate","Hacking/IT Incident","Yes"
"current","Atlantic Dialysis Management Services - Central Park Dialysis Center  ",1345,"03/22/2023","","Network Server","NY","Business Associate","Hacking/IT Incident","Yes"
"current","Atlantic Dialysis Management Services - Central Brooklyn Dialysis Center LLC ",1052,"03/22/2023","","Network Server","NY","Business Associate","Hacking/IT Incident","Yes"
"current","Atlantic Dialysis Management Services - Broadway Dialysis Center  ",776,"03/21/2023","","Network Server","NY","Business Associate","Hacking/IT Incident","Yes"
"current","Atlantic Dialysis Management Services - Astoria Dialysis Center  ",3851,"03/21/2023","","Network Server","NY","Business Associate","Hacking/IT Incident","Yes"
"current","McAllen Hospitals, LP d/b/a South Texas Health System",500,"03/20/2023","","Email","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","NewYork-Presbyterian Hospital",54396,"03/20/2023","","Network Server","NY","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Integrated Supports for Living, Inc.",1161,"03/20/2023","","Network Server","OR","Healthcare Provider","Hacking/IT Incident","No"
"current","Majestic Care Middletown Assisted Living LLC",2636,"03/17/2023","","Network Server","IN","Healthcare Provider","Hacking/IT Incident","No"
"current","OU Medicine, Inc. d/b/a OU Health",3013,"03/17/2023","","Laptop","OK","Healthcare Provider","Theft","No"
"current","Health Plan of San Mateo",11894,"03/17/2023","","Email","CA","Health Plan","Hacking/IT Incident","No"
"current","Associates in Dermatology",8517,"03/17/2023","","Network Server","KY","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Community Health Systems Professional Services Corporations (CHSPSC), LLC",962884,"03/16/2023","","Network Server","TN","Business Associate","Hacking/IT Incident","Yes"
"current","UC San Diego Health ",23000,"03/16/2023","","Network Server, Other","CA","Healthcare Provider","Unauthorized Access/Disclosure","Yes"
"current","AllCare Plus Pharmacy, Inc.",757,"03/15/2023","","Email","MA","Healthcare Provider","Hacking/IT Incident","No"
"current","Healthy Options dba Postal Prescription Services – Kroger ",82466,"03/15/2023","","Network Server","OH","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","California Department of Health Care Services",6460,"03/14/2023","","Paper/Films","CA","Health Plan","Unauthorized Access/Disclosure","Yes"
"current","Top of the World Ranch Treatment Center",1980,"03/14/2023","","Email","IL","Healthcare Provider","Hacking/IT Incident","No"
"current","NorthStar Emergency Medical Services",82450,"03/14/2023","","Network Server","AL","Healthcare Provider","Hacking/IT Incident","No"
"current","Beach District Surgery Center",3560,"03/13/2023","","Email","CA","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Bone & Joint Clinic, S.C.",105094,"03/13/2023","","Network Server","WI","Healthcare Provider","Hacking/IT Incident","No"
"current","ZOLL Services LLC ",997097,"03/10/2023","","Network Server","MA","Healthcare Provider","Hacking/IT Incident","No"
"current","Florida Medical Clinic, LLC",94132,"03/10/2023","","Network Server","FL","Healthcare Provider","Hacking/IT Incident","No"
"current","Colquitt Complete Care, LLC",1282,"03/10/2023","","Network Server","GA","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Department of Economic Security, Division of Developmental Disabilities",857,"03/10/2023","","Paper/Films","AZ","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Beacon Health System",3117,"03/10/2023","","Electronic Medical Record","IN","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Community Health Centers of Greater Dayton",516,"03/08/2023","","Email","OH","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","The M K Morse Company's Health Plan",1378,"03/08/2023","","Network Server","OH","Health Plan","Hacking/IT Incident","No"
"current","SundaySky, Inc.",37095,"03/07/2023","","Network Server","NY","Business Associate","Hacking/IT Incident","Yes"
"current","Trinity Health",45350,"03/06/2023","","Email","MI","Business Associate","Hacking/IT Incident","Yes"
"current","The Chautauqua Center Inc.",745,"03/06/2023","","Electronic Medical Record","NY","Healthcare Provider","Unauthorized Access/Disclosure","Yes"
"current","Northeast Surgical Group, PC",15298,"03/06/2023","","Network Server","MI","Healthcare Provider","Hacking/IT Incident","No"
"current","Denver Public Schools Medical Plans",35068,"03/03/2023","","Network Server","CO","Health Plan","Hacking/IT Incident","No"
"current","Codman Square Health Center",10161,"03/01/2023","","Network Server","MA","Healthcare Provider","Hacking/IT Incident","No"
"current","Cerebral, Inc",3179835,"03/01/2023","","Network Server","DE","Business Associate","Unauthorized Access/Disclosure","Yes"
"current","Texas Medical Liability Trust and its affiliates",600,"03/01/2023","","Network Server","TX","Business Associate","Hacking/IT Incident","Yes"
"current","MHMR Authority of Brazos Valley ",78984,"02/28/2023","","Network Server","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","Community Health Group ",824,"02/28/2023","","Network Server","CA","Health Plan","Hacking/IT Incident","Yes"
"current","Valera Health",2317,"02/28/2023","","Email","NY","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Clarity Child Guidance Center",531,"02/28/2023","","Email","TX","Health Plan","Unauthorized Access/Disclosure","No"
"current","Asante",8834,"02/24/2023","","Electronic Medical Record","OR","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Aloha Nursing Rehab Centre",20216,"02/24/2023","","Network Server","HI","Healthcare Provider","Hacking/IT Incident","No"
"current","eMDs, Inc.",625,"02/24/2023","","Network Server","TX","Business Associate","Hacking/IT Incident","Yes"
"current","White Bird Clinic",584,"02/23/2023","","Email","OR","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Hutchinson Clinic, P.A. ",100000,"02/17/2023","","Network Server","KS","Healthcare Provider","Hacking/IT Incident","No"
"current","Jackson Lewis P.C. ",986,"02/17/2023","","Other Portable Electronic Device","CA","Business Associate","Theft","Yes"
"current","San Juan Regional Medical Center",8500,"02/15/2023","","Network Server","NM","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Integrative Dentistry",2281,"02/14/2023","","Network Server","WA","Healthcare Provider","Hacking/IT Incident","No"
"current","Reventics, LLC",250918,"02/10/2023","","Network Server","FL","Business Associate","Hacking/IT Incident","Yes"
"current","CentraState Healthcare System, Inc.",617901,"02/10/2023","","Network Server","NJ","Healthcare Provider","Hacking/IT Incident","No"
"current","Intelligent Business Solutions ",11595,"02/10/2023","","Network Server","NC","Business Associate","Hacking/IT Incident","Yes"
"current","Compass Behavioral Health",537,"02/10/2023","","Email","KS","Healthcare Provider","Hacking/IT Incident","No"
"current","Highmark Inc",36600,"02/10/2023","","Email","PA","Business Associate","Hacking/IT Incident","Yes"
"current","Evergreen Treatment Services",21325,"02/10/2023","","Network Server","WA","Healthcare Provider","Hacking/IT Incident","No"
"current","Highmark Inc",239039,"02/10/2023","","Email","PA","Health Plan","Hacking/IT Incident","No"
"current","Wentworth Health Partners Garrison Women's Health",4158,"02/10/2023","","Electronic Medical Record","NH","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Nelson Pharmacy Consulting Services PLC",500,"02/10/2023","","Desktop Computer, Network Server","IA","Healthcare Provider","Hacking/IT Incident","No"
"current","Cheyenne Radiology Group & MRI, P.C.",12222,"02/09/2023","","Network Server","WY","Healthcare Provider","Hacking/IT Incident","No"
"current","Tattnall County, Georgia",1337,"02/09/2023","","Network Server","GA","Healthcare Provider","Hacking/IT Incident","No"
"current","Health Benefit Plan of Bridgewater-Raritan Regional School District",3909,"02/09/2023","","Network Server","NJ","Health Plan","Hacking/IT Incident","No"
"current","90 Degree Benefits, Inc.",175000,"02/08/2023","","Network Server","WI","Business Associate","Hacking/IT Incident","Yes"
"current","NR Pennsylvania Associates, LLC",14335,"02/07/2023","","Network Server","PA","Healthcare Provider","Hacking/IT Incident","No"
"current","NR Connecticut, LLC",2160,"02/07/2023","","Network Server","CT","Healthcare Provider","Hacking/IT Incident","No"
"current","Frank R. Laurri, M.D. and Associates, P.C.",2673,"02/07/2023","","Electronic Medical Record","NY","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Teijin Automotive Technologies Welfare Plan",25464,"02/06/2023","","Network Server","MI","Health Plan","Hacking/IT Incident","No"
"current","Vitra Health, Inc.",1618,"02/06/2023","","Email","MA","Healthcare Provider","Hacking/IT Incident","No"
"current","Rise Interactive Media & Analytics, LLC",54509,"02/03/2023","","Network Server","IL","Business Associate","Hacking/IT Incident","Yes"
"current","Cardiovascular Associates",441640,"02/03/2023","","Network Server","AL","Healthcare Provider","Hacking/IT Incident","No"
"current","Southeast Colorado Hospital District",1435,"02/03/2023","","Email","CO","Healthcare Provider","Hacking/IT Incident","No"
"current","The Institute for Liver Health dba Arizona Liver Health-Arizona Clinical Trials",1277,"02/01/2023","","Network Server","AZ","Healthcare Provider","Hacking/IT Incident","No"
"current","Arizona Health Advantage, Inc. d/b/a Arizona Priority Care; AZPC Clinics, LLC; and the health plans for which APC has executed a BAA, listed below",10978,"02/01/2023","","Network Server","AZ","Healthcare Provider","Hacking/IT Incident","No"
"current","Regal Medical Group,Lakeside Medical Organization, ADOC Acquisition, & Greater Covina Medical Group",3388856,"02/01/2023","","Network Server","CA","Healthcare Provider","Hacking/IT Incident","No"
"current","Institute for Hormonal Balance",597,"01/31/2023","","Paper/Films","TX","Healthcare Provider","Theft","No"
"current","Brooks Rehabilitation",1554,"01/31/2023","","Network Server","FL","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","DotHouse Health Incorporated",10000,"01/27/2023","","Network Server","MA","Healthcare Provider","Hacking/IT Incident","No"
"current","Benefit Administrative Systems, LLC (BAS)",6465,"01/27/2023","","Network Server","IL","Business Associate","Hacking/IT Incident","Yes"
"current","Cedar Oaks Surgery Center ",794,"01/27/2023","","Email","MO","Healthcare Provider","Hacking/IT Incident","No"
"current","Stroke Scan Inc",50000,"01/27/2023","","Desktop Computer","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","Minuteman Senior Services",500,"01/27/2023","","Email","MA","Healthcare Provider","Hacking/IT Incident","No"
"current","Benefit Management LLC",3356,"01/27/2023","","Email","KS","Business Associate","Hacking/IT Incident","Yes"
"current","Hayward Sisters Hospital d/b/a St. Rose Hospital ",501,"01/27/2023","","Network Server","CA","Healthcare Provider","Hacking/IT Incident","No"
"current","Howard Memorial Hospital",53668,"01/27/2023","","Network Server","AR","Healthcare Provider","Hacking/IT Incident","No"
"current","Valley Care Home Health Services, Inc.",2674,"01/25/2023","","Other Portable Electronic Device","CA","Healthcare Provider","Theft","No"
"current","AppleCare, LLC",512,"01/23/2023","","Paper/Films","GA","Healthcare Provider","Unauthorized Access/Disclosure","Yes"
"current","Peachtree Immediate Care FP, LLC",2555,"01/23/2023","","Paper/Films","GA","Healthcare Provider","Unauthorized Access/Disclosure","Yes"
"current","City of Cleveland Health Plan",15206,"01/20/2023","","Network Server","OH","Health Plan","Unauthorized Access/Disclosure","No"
"current","One Brooklyn Health System",500,"01/18/2023","","Network Server","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","University of Colorado Hospital Authority",48879,"01/17/2023","","Network Server","CO","Healthcare Provider","Hacking/IT Incident","Yes"
"current","1st Franklin Financial Corporation Master Welfare Benefit Plan",3039,"01/13/2023","","Email","GA","Health Plan","Hacking/IT Incident","No"
"current","Intelligent Business Solutions ",500,"01/13/2023","","Network Server","NC","Business Associate","Hacking/IT Incident","Yes"
"current","Jefferson County Health Center d/b/a Jefferson County Health Department",115940,"01/13/2023","","Network Server","MO","Healthcare Provider","Hacking/IT Incident","No"
"current","DPP II, LLC",125981,"01/12/2023","","Network Server","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","Community Psychiatry Management, LLC, dba Mindpath Health",193947,"01/10/2023","","Email","NC","Healthcare Provider","Hacking/IT Incident","No"
"current","Vascular Institute of Houston, PLLC",1195,"01/05/2023","","Electronic Medical Record","TX","Healthcare Provider","Unauthorized Access/Disclosure","Yes"
"current","Vascular Institute of North Texas, PLLC ",5853,"01/05/2023","","Electronic Medical Record","TX","Healthcare Provider","Unauthorized Access/Disclosure","Yes"
"current","Pershing Health System",5368,"01/05/2023","","Email","MO","Healthcare Provider","Hacking/IT Incident","No"
"current","Insulet Corporation",29000,"01/05/2023","","Network Server","MA","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Texas Orthopaedic & Sports Medicine",1064,"01/05/2023","","Electronic Medical Record, Laptop","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","Lantern Hill Retirement Community",528,"01/05/2023","","Network Server","NJ","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Live Oak Surgery Center",5264,"01/03/2023","","Email","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","Barclay Damon LLP",1039,"01/03/2023","","Email","NY","Business Associate","Hacking/IT Incident","Yes"
"current","Circles of Care, Inc. ",61170,"01/03/2023","","Network Server","FL","Healthcare Provider","Hacking/IT Incident","No"
"current","Bay Bridge Administrators, LLC",187742,"12/30/2022","","Network Server","TX","Business Associate","Hacking/IT Incident","Yes"
"current","Fitzgibbon Hospital",112072,"12/30/2022","","Network Server","MO","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","NR Florida Associates LLC",6250,"12/30/2022","","Network Server","FL","Healthcare Provider","Hacking/IT Incident","No"
"current","L. Knife & Son, Inc. Employee Benefits Plan",4082,"12/30/2022","","Network Server","MA","Health Plan","Hacking/IT Incident","No"
"current","MJ Care",1832,"12/29/2022","","Email","WI","Business Associate","Hacking/IT Incident","Yes"
"current","Bosselman Energy, Inc. Employee Health Benefits Plan",735,"12/29/2022","","Network Server","NE","Health Plan","Hacking/IT Incident","No"
"current","CellNetix Pathology & Laboratories",1969,"12/28/2022","","Email","WA","Healthcare Provider","Hacking/IT Incident","No"
"current","Aetna ACE",4222,"12/27/2022","","Email","CT","Health Plan","Hacking/IT Incident","No"
"current","Quality Behavioral Health",3498,"12/26/2022","","Network Server","WA","Healthcare Provider","Hacking/IT Incident","No"
"current","Cedar Cares, Inc. f/k/a Careportal",1205,"12/23/2022","","Paper/Films","NY","Business Associate","Unauthorized Access/Disclosure","Yes"
"current","Legacy Operating Company d/b/a Legacy Hospice",21202,"12/22/2022","","Email","AL","Healthcare Provider","Hacking/IT Incident","No"
"current","Southwest Louisiana Health Care System, Inc. d/b/a Lake Charles Memorial Health System",269752,"12/22/2022","","Network Server","LA","Healthcare Provider","Hacking/IT Incident","No"
"current","University of Miami ",973,"12/22/2022","","Email","FL","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Sequoia Benefits and Insurance Services, LLC, d/b/a Sequoia Consulting Group",4265,"12/20/2022","","Other","CA","Business Associate","Hacking/IT Incident","Yes"
"current","Bay City Health & Rehabilitation Center ",2000,"12/20/2022","","Network Server","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","Prairie Lakes Healthcare System",1060,"12/20/2022","","Network Server","SD","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Metropolitan Area EMS Authority dba MedStar Mobile Healthcare",612000,"12/19/2022","","Network Server","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","Monarch",56155,"12/16/2022","","Network Server","NC","Healthcare Provider","Hacking/IT Incident","No"
"current","Foundcare, Inc.",14194,"12/16/2022","","Email","FL","Healthcare Provider","Hacking/IT Incident","No"
"current","AAA Collections, Inc.",4635,"12/15/2022","","Network Server","SD","Business Associate","Hacking/IT Incident","Yes"
"current","Avem Health Partners",271303,"12/13/2022","","Network Server","OK","Business Associate","Hacking/IT Incident","Yes"
